number,hero,image
10,"QUEEN OF PAIN",10.png
11,"ANCIENT APPARITION",11.png
12,"ARC WARDEN",12.png
13,"ZEUS",13.png
14,"Armageddon",14.png
15,"ABADDON",15.png
16,"Zharvakko",16.png
17,"ANTI MAGE",17.png
18,"Akakiryu",18.png
19,"ALCHEMIST",19.png
20,"SPECTRE",20.png
21,"WARLOCK",21.png
22,"WINTER WYVERN",22.png
23,"SHADOW DEMON",23.png
24,"WIND RANGER",24.png
25,"SPIRIT BREAKER",25.png
26,"SNAPFIRE",26.png
27,"SKYWRATH MAGE",27.png
28,"Skadi",28.png
29,"SLARDAR",29.png
30,"DEATH PROPHET",30.png
31,"DAZZLE",31.png
32,"DARK SEER",32.png
33,"Crimson Cut-throat",33.png
34,"DROW RANGER",34.png
35,"ELDER TITAN",35.png
36,"ENCHANTRESS",36.png
37,"CRYSTAL MAIDEN",37.png
38,"DRAGON KNIGHT",38.png
39,"DOOM",39.png
41,"RAZOR",41.png
42,"VENGEFUL SPIRIT",42.png
43,"VENOMANCER",43.png
44,"FACELESS VOID",44.png
45,"Virga Truebark",45.png
46,"Fymryn",46.png
47,"RUBICK",47.png
48,"RIKI",48.png
49,"Roshan",49.png
50,"TREANT PROTECTOR",50.png
51,"Gallaron",51.png
52,"TROLL WARLORD",52.png
53,"GYRO COPTER",53.png
54,"BAT RIDER",54.png
55,"BRISTLE BACK",55.png
56,"TIDE HUNTER",56.png
57,"BREW MASTER",57.png
58,"TINKER",58.png
59,"Goddess of Luck",59.png
60,"NATURE PROPHET",60.png
61,"NYX ASSASSIN",61.png
62,"NAGA SIREN",62.png
63,"NECROPHOS",63.png
64,"Hroth",64.png
65,"Hill Troll",65.png
66,"Nico Hieronimo",66.png
67,"HUSKAR",67.png
68,"Nikdo",68.png
69,"HOODWINK",69.png
71,"JAKIRO",71.png
72,"The Unseen Seven",72.png
73,"MEDUSA",73.png
74,"URSA",74.png
75,"Mirana's Grandfather",75.png
76,"UNDYING",76.png
77,"JUGGERNAUT",77.png
78,"MONKEY KING",78.png
79,"MORPHLING",79.png
81,"Karroch",81.png
82,"Ice Wizard",82.png
83,"Keeper",83.png
86,"INVOKER",86.png
87,"KUNKKA",87.png
89,"IO",89.png
91,"Lanaya",91.png
92,"LIFE STEALER",92.png
93,"LEGION COMMANDER",93.png
94,"ORACLE",94.png
95,"Oblivion",95.png
96,"Lyla",96.png
97,"LUNA",97.png
98,"LINA",98.png
99,"Lommett",99.png
