1,"pq,pa,pz",PHANTOM ASSASSIN,,https://www.google.com/search?q=dota PHANTOM ASSASSIN,8
2,"pw,ps,px",Papa Samet,https://dota2.fandom.com/wiki/Papa_Samet,https://www.google.com/search?q=dota Papa Samet,
3,"pe,pd,pc",Primordial Consciousness,https://dota2.fandom.com/wiki/Primordial_Consciousness,https://www.google.com/search?q=dota Primordial Consciousness,
4,"pr,pf,pv :",,,https://www.google.com/search?q=dota ,
5,"pt,pg,pb",PRIMAL BEAST,,https://www.google.com/search?q=dota PRIMAL BEAST,
6,"py,ph,pn",Phoenix,,https://www.google.com/search?q=dota Phoenix,
7,"pu,pj,pm",Princess of the Moon,https://dota2.fandom.com/wiki/Mirana,https://www.google.com/search?q=dota Princess of the Moon,
8,"pi,pk",Pinzik,https://dota2.fandom.com/wiki/Pinzik,https://www.google.com/search?q=dota Pinzik,
9,"po,pl",PHANTOM LANCER,,https://www.google.com/search?q=dota PHANTOM LANCER,
10,"qp,ap,zp",QUEEN OF PAIN,,https://www.google.com/search?q=dota QUEEN OF PAIN,
11,"qq,aq,zq,qa,aa,za,qz,az,zz",ANCIENT APPARITION,,https://www.google.com/search?q=dota ANCIENT APPARITION,
12,"qw,aw,zw,qs,as,zs,qx,ax,zx",ARC WARDEN,,https://www.google.com/search?q=dota ARC WARDEN,
13,"qe,ae,ze,qd,ad,zd,qc,ac,zc",ZEUS,,https://www.google.com/search?q=dota ZEUS,
14,"qr,ar,zr,qf,af,zf,qv,av,zv",Armageddon,https://dota2.fandom.com/wiki/Armageddon,https://www.google.com/search?q=dota Armageddon,
15,"qt,at,zt,qg,ag,zg,qb,ab,zb",ABADDON,,https://www.google.com/search?q=dota ABADDON,
16,"qy,ay,zy,qh,ah,zh,qn,an,zn",Zharvakko,https://dota2.fandom.com/wiki/Witch_Doctor,https://www.google.com/search?q=dota Zharvakko,
17,"qu,au,zu,qj,aj,zj,qm,am,zm",ANTI MAGE,,https://www.google.com/search?q=dota ANTI MAGE,
18,"qi,ai,zi,qk,ak,zk",Akakiryu,,https://www.google.com/search?q=dota Akakiryu,
19,"qo,ao,zo,ql,al,zl",ALCHEMIST,,https://www.google.com/search?q=dota ALCHEMIST,
20,"wp,sp,xp",SPECTRE,,https://www.google.com/search?q=dota SPECTRE,
21,"wq,sq,xq,wa,sa,xa,wz,sz,xz",WARLOCK,,https://www.google.com/search?q=dota WARLOCK,
22,"ww,sw,xw,ws,ss,xs,wx,sx,xx",WINTER WYVERN,,https://www.google.com/search?q=dota WINTER WYVERN,
23,"we,se,xe,wd,sd,xd,wc,sc,xc",SHADOW DEMON,,https://www.google.com/search?q=dota SHADOW DEMON,
24,"wr,sr,xr,wf,sf,xf,wv,sv,xv",WIND RANGER,,https://www.google.com/search?q=dota WIND RANGER,
25,"wt,st,xt,wg,sg,xg,wb,sb,xb",SPIRIT BREAKER,,https://www.google.com/search?q=dota SPIRIT BREAKER,
26,"wy,sy,xy,wh,sh,xh,wn,sn,xn",SNAPFIRE,,https://www.google.com/search?q=dota SNAPFIRE,
27,"wu,su,xu,wj,sj,xj,wm,sm,xm",SKYWRATH MAGE,,https://www.google.com/search?q=dota SKYWRATH MAGE,
